,Image,Detections,Confidence %,TP,FP,Acc TP,Acc FP,Precision,Recall
752,Image 621,vishnu temple,99.99978542327881,1,0,710,5,0.993006993006993,0.19147788565264293
753,Image 1535,gaddi durbar,99.99978542327881,1,0,711,5,0.9930167597765364,0.19174757281553398
754,Image 138,bhairavnath temple,99.99977350234985,1,0,712,5,0.99302649930265,0.19201725997842503
755,Image 1003,kasthamandap,99.99977350234985,1,0,713,5,0.9930362116991643,0.19228694714131608
756,Image 1951,vastala temple,99.99977350234985,1,0,714,5,0.9930458970792768,0.1925566343042071
757,Image 997,kavindrapura sattal,99.99977350234985,1,0,715,5,0.9930555555555556,0.19282632146709816
758,Image 978,simha sattal,99.99977350234985,1,0,716,5,0.9930651872399445,0.1930960086299892
759,Image 388,garud,99.99977350234985,1,0,717,5,0.9930747922437673,0.19336569579288027
760,Image 928,bhaktapur tower,99.99977350234985,1,0,718,5,0.9930843706777317,0.19363538295577132
761,Image 361,bhimeleshvara,99.99977350234985,1,0,719,5,0.9930939226519337,0.19390507011866234
762,Image 831,shveta bhairava,99.99977350234985,1,0,720,5,0.993103448275862,0.1941747572815534
763,Image 795,bhagavati temple,99.99977350234985,1,0,721,5,0.9931129476584022,0.19444444444444445
764,Image 1738,jagannatha temple,99.99977350234985,1,0,722,5,0.9931224209078404,0.1947141316073355
765,Image 840,jagannatha temple,99.99977350234985,1,0,723,5,0.9931318681318682,0.19498381877022652
766,Image 1251,palace of the 55 windows,99.9997615814209,1,0,724,5,0.9931412894375857,0.19525350593311758
767,Image 992,simha sattal,99.9997615814209,1,0,725,5,0.9931506849315068,0.19552319309600863
768,Image 821,chasin dega,99.9997615814209,1,0,726,5,0.9931600547195623,0.19579288025889968
769,Image 1379,mahadev temple,99.9997615814209,1,0,727,5,0.9931693989071039,0.19606256742179073
770,Image 1077,narayan temple,99.9997615814209,1,0,728,5,0.9931787175989086,0.19633225458468176
771,Image 742,degu tale temple_KDS,99.9997615814209,1,0,729,5,0.9931880108991825,0.1966019417475728
772,Image 690,kavindrapura sattal,99.9997615814209,1,0,730,5,0.9931972789115646,0.19687162891046386
773,Image 1103,bhaktapur tower,99.9997615814209,1,0,731,5,0.9932065217391305,0.19714131607335492
774,Image 574,hanuman idol,99.9997615814209,1,0,732,5,0.9932157394843962,0.19741100323624594
775,Image 2066,bhairavnath temple,99.9997615814209,1,0,733,5,0.9932249322493225,0.197680690399137
776,Image 385,bhimeleshvara,99.9997615814209,1,0,734,5,0.993234100135318,0.19795037756202805
777,Image 1704,trailokya mohan,99.9997615814209,1,0,735,5,0.9932432432432432,0.1982200647249191
778,Image 1808,nyatapola temple,99.9997615814209,1,0,736,5,0.9932523616734144,0.19848975188781015
779,Image 1627,basantapur tower,99.9997615814209,1,0,737,5,0.9932614555256065,0.19875943905070118
780,Image 1661,kirtipur tower,99.9997615814209,1,0,738,5,0.9932705248990579,0.19902912621359223
781,Image 1637,basantapur tower,99.9997615814209,1,0,739,5,0.9932795698924731,0.19929881337648328
782,Image 282,nyatapola temple,99.9997615814209,1,0,740,5,0.9932885906040269,0.19956850053937433
783,Image 1877,national gallery,99.9997615814209,0,0,740,5,0.9932885906040269,0.19956850053937433
784,Image 719,shiva temple,99.99974966049194,1,0,741,5,0.9932975871313673,0.19983818770226539
785,Image 337,badrinath temple,99.99974966049194,1,0,742,5,0.9933065595716198,0.2001078748651564
786,Image 142,bhairavnath temple,99.99974966049194,1,0,743,5,0.9933155080213903,0.20037756202804746
787,Image 1228,gopinath krishna temple,99.99974966049194,1,0,744,5,0.9933244325767691,0.20064724919093851
788,Image 254,dattatreya temple,99.99974966049194,1,0,745,5,0.9933333333333333,0.20091693635382957
789,Image 682,bhimeleshvara,99.99974966049194,1,0,746,5,0.9933422103861518,0.2011866235167206
790,Image 1611,basantapur tower,99.99974966049194,1,0,747,5,0.9933510638297872,0.20145631067961164
791,Image 1986,indrapura,99.99974966049194,1,0,748,5,0.9933598937583001,0.2017259978425027
792,Image 279,nyatapola temple,99.99974966049194,1,0,749,5,0.993368700265252,0.20199568500539375
793,Image 846,hanuman idol,99.99974966049194,1,0,750,5,0.9933774834437086,0.2022653721682848
794,Image 1254,palace of the 55 windows,99.99973773956299,1,0,751,5,0.9933862433862434,0.20253505933117583
795,Image 296,siddhi lakshmi temple,99.99973773956299,1,0,752,5,0.9933949801849405,0.20280474649406688
796,Image 1598,vishnu temple,99.99973773956299,0,0,752,5,0.9933949801849405,0.20280474649406688
797,Image 1568,vishnu temple,99.99973773956299,1,0,753,5,0.9934036939313984,0.20307443365695793
798,Image 352,gaddi durbar,99.99973773956299,1,0,754,5,0.9934123847167325,0.20334412081984898
799,Image 502,taleju bell_KDS,99.99973773956299,1,0,755,5,0.993421052631579,0.20361380798274
800,Image 557,shveta bhairava,99.99973773956299,1,0,756,5,0.9934296977660972,0.20388349514563106
801,Image 1130,degu tale temple_KDS,99.99973773956299,1,0,757,5,0.9934383202099738,0.2041531823085221
802,Image 136,taleju bell_BDS,99.99973773956299,1,0,758,5,0.9934469200524246,0.20442286947141317
803,Image 746,bhuvana lakshmeshvara,99.99972581863403,0,0,758,5,0.9934469200524246,0.20442286947141317
804,Image 1578,bhuvana lakshmeshvara,99.99972581863403,0,0,758,5,0.9934469200524246,0.20442286947141317
805,Image 734,kasthamandap,99.99972581863403,1,0,759,5,0.993455497382199,0.20469255663430422
806,Image 1578,vishnu temple,99.99972581863403,0,0,759,5,0.993455497382199,0.20469255663430422
807,Image 1035,bhagavati temple,99.99972581863403,1,0,760,5,0.9934640522875817,0.20496224379719524
808,Image 1965,bhuvana lakshmeshvara,99.99972581863403,1,0,761,5,0.9934725848563969,0.2052319309600863
809,Image 1722,dattatreya temple,99.99972581863403,1,0,762,5,0.9934810951760105,0.20550161812297735
810,Image 1156,golden gate,99.99972581863403,1,0,763,5,0.9934895833333334,0.2057713052858684
811,Image 1585,bhuvana lakshmeshvara,99.99972581863403,1,0,764,5,0.9934980494148244,0.20604099244875945
812,Image 1637,kirtipur tower,99.99972581863403,1,0,765,5,0.9935064935064936,0.20631067961165048
813,Image 546,shveta bhairava,99.99972581863403,1,0,766,5,0.993514915693904,0.20658036677454153
814,Image 314,badrinath temple,99.99972581863403,1,0,767,5,0.9935233160621761,0.20685005393743258
815,Image 1213,kedamatha tirtha,99.99972581863403,1,0,768,5,0.9935316946959897,0.20711974110032363
816,Image 1201,gopinath krishna temple,99.99972581863403,1,0,769,5,0.9935400516795866,0.20738942826321466
817,Image 1217,gopinath krishna temple,99.99972581863403,1,0,770,5,0.9935483870967742,0.2076591154261057
818,Image 1382,national gallery,99.99972581863403,0,1,770,6,0.9922680412371134,0.2076591154261057
819,Image 10,lalitpur tower,99.99972581863403,1,0,771,6,0.9922779922779923,0.20792880258899676
820,Image 1868,vastala temple,99.99971389770508,1,0,772,6,0.9922879177377892,0.20819848975188782
821,Image 1590,narayan temple,99.99971389770508,1,0,773,6,0.9922978177150192,0.20846817691477887
822,Image 1246,golden gate,99.99971389770508,1,0,774,6,0.9923076923076923,0.2087378640776699
823,Image 15,basantapur tower,99.99971389770508,1,0,775,6,0.9923175416133163,0.20900755124056095
824,Image 1157,palace of the 55 windows,99.99971389770508,1,0,776,6,0.9923273657289002,0.209277238403452
825,Image 2049,degu tale temple_KDS,99.99971389770508,1,0,777,6,0.9923371647509579,0.20954692556634305
826,Image 394,trailokya mohan,99.99971389770508,1,0,778,6,0.9923469387755102,0.20981661272923408
827,Image 668,kasthamandap,99.99971389770508,1,0,779,6,0.9923566878980892,0.21008629989212513
828,Image 1889,vastala temple,99.99971389770508,0,0,779,6,0.9923566878980892,0.21008629989212513
829,Image 1215,kedamatha tirtha,99.99971389770508,1,0,780,6,0.9923664122137404,0.21035598705501618
830,Image 977,simha sattal,99.99971389770508,1,0,781,6,0.9923761118170267,0.21062567421790723
831,Image 1583,bhuvana lakshmeshvara,99.99971389770508,0,0,781,6,0.9923761118170267,0.21062567421790723
832,Image 749,bhagavati temple,99.99971389770508,1,0,782,6,0.9923857868020305,0.21089536138079829
833,Image 386,bhimeleshvara,99.99970197677612,1,0,783,6,0.9923954372623575,0.2111650485436893
834,Image 1596,taleju temple,99.99970197677612,1,0,784,6,0.9924050632911392,0.21143473570658036
835,Image 939,basantapur tower,99.99970197677612,1,0,785,6,0.9924146649810367,0.21170442286947141
836,Image 30,indrapura,99.99970197677612,1,0,786,6,0.9924242424242424,0.21197411003236247
837,Image 928,lalitpur tower,99.99970197677612,1,0,787,6,0.9924337957124842,0.21224379719525352
838,Image 1253,vastala temple,99.99970197677612,1,0,788,6,0.9924433249370277,0.21251348435814454
839,Image 595,kala-bhairava,99.99970197677612,1,0,789,6,0.9924528301886792,0.2127831715210356
840,Image 839,jagannatha temple,99.99970197677612,1,0,790,6,0.992462311557789,0.21305285868392665
841,Image 761,kasthamandap,99.99970197677612,1,0,791,6,0.9924717691342535,0.2133225458468177
842,Image 1639,bhaktapur tower,99.99970197677612,1,0,792,6,0.9924812030075187,0.21359223300970873
843,Image 815,taleju bell_KDS,99.99970197677612,1,0,793,6,0.9924906132665833,0.21386192017259978
844,Image 1284,golden gate,99.99970197677612,0,0,793,6,0.9924906132665833,0.21386192017259978
845,Image 1596,bhuvana lakshmeshvara,99.99970197677612,1,0,794,6,0.9925,0.21413160733549083
846,Image 1873,palace of the 55 windows,99.99970197677612,0,0,794,6,0.9925,0.21413160733549083
847,Image 1205,gopinath krishna temple,99.99970197677612,1,0,795,6,0.9925093632958801,0.21440129449838188
848,Image 808,taleju bell_KDS,99.99970197677612,1,0,796,6,0.9925187032418953,0.21467098166127294
849,Image 1652,kirtipur tower,99.99970197677612,1,0,797,6,0.9925280199252802,0.21494066882416396
850,Image 1597,taleju temple,99.99970197677612,1,0,798,6,0.9925373134328358,0.215210355987055
851,Image 131,palace of the 55 windows,99.99969005584717,1,0,799,6,0.9925465838509316,0.21548004314994607
852,Image 597,kala-bhairava,99.99969005584717,1,0,800,6,0.9925558312655087,0.21574973031283712
853,Image 527,chasin dega,99.99969005584717,1,0,801,6,0.9925650557620818,0.21601941747572814
854,Image 857,hanuman idol,99.99969005584717,1,0,802,6,0.9925742574257426,0.2162891046386192
855,Image 679,trailokya mohan,99.99969005584717,1,0,803,6,0.992583436341162,0.21655879180151025
856,Image 1944,gopinath krishna temple,99.99969005584717,1,0,804,6,0.9925925925925926,0.2168284789644013
857,Image 34,kala-bhairava,99.99969005584717,1,0,805,6,0.9926017262638718,0.21709816612729235
858,Image 1933,nyatapola temple,99.99969005584717,1,0,806,6,0.9926108374384236,0.21736785329018338
859,Image 243,bhairavnath temple,99.99969005584717,1,0,807,6,0.992619926199262,0.21763754045307443
860,Image 981,kasthamandap,99.99969005584717,1,0,808,6,0.9926289926289926,0.21790722761596548
861,Image 111,kala-bhairava,99.99969005584717,1,0,809,6,0.992638036809816,0.21817691477885653
862,Image 392,trailokya mohan,99.99967813491821,1,0,810,6,0.9926470588235294,0.21844660194174756
863,Image 1504,basantapur tower,99.99967813491821,1,0,811,6,0.99265605875153,0.2187162891046386
864,Image 8,lalitpur tower,99.99967813491821,1,0,812,6,0.9926650366748166,0.21898597626752966
865,Image 1817,fasidega temple,99.99967813491821,1,0,813,6,0.9926739926739927,0.21925566343042072
866,Image 60,kala-bhairava,99.99967813491821,1,0,814,6,0.9926829268292683,0.21952535059331177
867,Image 1968,vishnu temple,99.99967813491821,1,0,815,6,0.9926918392204629,0.2197950377562028
868,Image 1597,bhuvana lakshmeshvara,99.99967813491821,1,0,816,6,0.9927007299270073,0.22006472491909385
869,Image 863,hanuman idol,99.99967813491821,0,0,816,6,0.9927007299270073,0.22006472491909385
870,Image 629,lalitpur tower,99.99967813491821,1,0,817,6,0.9927095990279465,0.2203344120819849
871,Image 728,shveta bhairava,99.99967813491821,1,0,818,6,0.9927184466019418,0.22060409924487595
872,Image 1588,vishnu temple,99.99967813491821,1,0,819,6,0.9927272727272727,0.220873786407767
873,Image 2026,taleju bell_KDS,99.99967813491821,1,0,820,6,0.9927360774818402,0.22114347357065803
874,Image 565,hanuman idol,99.99967813491821,1,0,821,6,0.992744860943168,0.22141316073354908
875,Image 566,hanuman idol,99.99967813491821,1,0,822,6,0.9927536231884058,0.22168284789644013
876,Image 1162,mahadev temple,99.99966621398926,1,0,823,6,0.9927623642943305,0.22195253505933119
877,Image 677,trailokya mohan,99.99966621398926,1,0,824,6,0.9927710843373494,0.2222222222222222
878,Image 965,kasthamandap,99.99966621398926,1,0,825,6,0.9927797833935018,0.22249190938511326
879,Image 676,kasthamandap,99.99966621398926,1,0,826,6,0.9927884615384616,0.22276159654800431
880,Image 1792,bhimsen temple,99.99966621398926,1,0,827,6,0.992797118847539,0.22303128371089537
881,Image 630,basantapur tower,99.99966621398926,1,0,828,6,0.9928057553956835,0.22330097087378642
882,Image 1263,chayasilin mandap,99.99966621398926,1,0,829,6,0.9928143712574851,0.22357065803667744
883,Image 880,taleju temple,99.99966621398926,1,0,830,6,0.992822966507177,0.2238403451995685
884,Image 869,vishnu temple,99.99966621398926,1,0,831,6,0.992831541218638,0.22411003236245955
885,Image 881,kala-bhairava,99.99966621398926,1,0,832,6,0.9928400954653938,0.2243797195253506
886,Image 1750,dattatreya temple,99.99966621398926,1,0,833,6,0.9928486293206198,0.22464940668824163
887,Image 1521,indrapura,99.9996542930603,1,0,834,6,0.9928571428571429,0.22491909385113268
888,Image 1939,nyatapola temple,99.9996542930603,1,0,835,6,0.9928656361474435,0.22518878101402373
889,Image 185,dattatreya temple,99.9996542930603,1,0,836,6,0.9928741092636579,0.22545846817691478
890,Image 1070,indrapura,99.9996542930603,1,0,837,6,0.9928825622775801,0.22572815533980584
891,Image 1613,basantapur tower,99.9996542930603,1,0,838,6,0.9928909952606635,0.22599784250269686
892,Image 332,national gallery,99.9996542930603,1,0,839,6,0.9928994082840237,0.2262675296655879
893,Image 1746,bhimsen temple,99.9996542930603,1,0,840,6,0.9929078014184397,0.22653721682847897
894,Image 1652,basantapur tower,99.9996542930603,1,0,841,6,0.9929161747343566,0.22680690399137002
895,Image 1081,vishnu temple,99.9996542930603,1,0,842,6,0.9929245283018868,0.22707659115426107
896,Image 1569,kala-bhairava,99.9996542930603,1,0,843,6,0.9929328621908127,0.2273462783171521
897,Image 410,garud,99.9996542930603,1,0,844,6,0.9929411764705882,0.22761596548004315
898,Image 689,chasin dega,99.9996542930603,1,0,845,6,0.9929494712103408,0.2278856526429342
899,Image 545,shveta bhairava,99.9996542930603,1,0,846,6,0.9929577464788732,0.22815533980582525
900,Image 1893,vastala temple,99.9996542930603,1,0,847,6,0.9929660023446659,0.22842502696871628
901,Image 1845,siddhi lakshmi temple,99.9996542930603,1,0,848,6,0.9929742388758782,0.22869471413160733
902,Image 1074,narayan temple,99.9996542930603,1,0,849,6,0.9929824561403509,0.22896440129449838
903,Image 432,shiva temple,99.9996542930603,0,0,849,6,0.9929824561403509,0.22896440129449838
904,Image 1053,jagannatha temple,99.9996542930603,1,0,850,6,0.9929906542056075,0.22923408845738943
905,Image 82,pratap malla column,99.99964237213135,1,0,851,6,0.9929988331388565,0.2295037756202805
906,Image 759,kasthamandap,99.99964237213135,1,0,852,6,0.993006993006993,0.2297734627831715
907,Image 2018,taleju bell_KDS,99.99964237213135,1,0,853,6,0.9930151338766007,0.23004314994606256
908,Image 1238,badrinath temple,99.99964237213135,1,0,854,6,0.9930232558139535,0.23031283710895362
909,Image 326,gopinath krishna temple,99.99964237213135,0,1,854,7,0.991869918699187,0.23031283710895362
910,Image 1385,trailokya mohan,99.99964237213135,1,0,855,7,0.9918793503480279,0.23058252427184467
911,Image 188,dattatreya temple,99.99964237213135,1,0,856,7,0.9918887601390498,0.2308522114347357
912,Image 523,chasin dega,99.99964237213135,1,0,857,7,0.9918981481481481,0.23112189859762675
913,Image 861,hanuman idol,99.99964237213135,1,0,858,7,0.991907514450867,0.2313915857605178
914,Image 1927,fasidega temple,99.99964237213135,1,0,859,7,0.9919168591224018,0.23166127292340885
915,Image 793,kavindrapura sattal,99.99964237213135,1,0,860,7,0.9919261822376009,0.2319309600862999
916,Image 2086,degu tale temple_KDS,99.99964237213135,1,0,861,7,0.9919354838709677,0.23220064724919093
917,Image 1522,kumari ghar,99.99963045120239,1,0,862,7,0.9919447640966629,0.23247033441208198
918,Image 1499,chasin dega,99.99963045120239,1,0,863,7,0.9919540229885058,0.23274002157497303
919,Image 1528,taleju temple,99.99963045120239,1,0,864,7,0.9919632606199771,0.23300970873786409
920,Image 1953,fasidega temple,99.99963045120239,1,0,865,7,0.9919724770642202,0.23327939590075514
921,Image 1213,badrinath temple,99.99963045120239,1,0,866,7,0.9919816723940436,0.23354908306364616
922,Image 2032,kumari ghar,99.99963045120239,1,0,867,7,0.9919908466819222,0.23381877022653721
923,Image 13,narayan temple,99.99963045120239,1,0,868,7,0.992,0.23408845738942827
924,Image 1079,bhuvana lakshmeshvara,99.99963045120239,1,0,869,7,0.9920091324200914,0.23435814455231932
925,Image 937,basantapur tower,99.99963045120239,1,0,870,7,0.992018244013683,0.23462783171521034
926,Image 748,kumari ghar,99.99963045120239,0,0,870,7,0.992018244013683,0.23462783171521034
927,Image 1234,gopinath krishna temple,99.99963045120239,1,0,871,7,0.9920273348519362,0.2348975188781014
928,Image 2067,bhagavati temple,99.99963045120239,1,0,872,7,0.9920364050056882,0.23516720604099245
929,Image 1602,basantapur tower,99.99963045120239,0,0,872,7,0.9920364050056882,0.23516720604099245
930,Image 1845,fasidega temple,99.99963045120239,1,0,873,7,0.9920454545454546,0.2354368932038835
931,Image 1937,fasidega temple,99.99963045120239,1,0,874,7,0.9920544835414302,0.23570658036677455
932,Image 567,hanuman idol,99.99963045120239,1,0,875,7,0.9920634920634921,0.23597626752966558
933,Image 220,bhairavnath temple,99.99963045120239,1,0,876,7,0.9920724801812004,0.23624595469255663
934,Image 976,simha sattal,99.99963045120239,1,0,877,7,0.9920814479638009,0.23651564185544768
935,Image 433,shiva temple,99.99961853027344,1,0,878,7,0.992090395480226,0.23678532901833874
936,Image 1243,national gallery,99.99961853027344,1,0,879,7,0.9920993227990971,0.23705501618122976
937,Image 1311,national gallery,99.99961853027344,1,0,880,7,0.992108229988726,0.2373247033441208
938,Image 1835,fasidega temple,99.99961853027344,1,0,881,7,0.9921171171171171,0.23759439050701187
939,Image 58,chasin dega,99.99961853027344,1,0,882,7,0.9921259842519685,0.23786407766990292
940,Image 1215,badrinath temple,99.99961853027344,1,0,883,7,0.9921348314606742,0.23813376483279397
941,Image 1922,fasidega temple,99.99961853027344,1,0,884,7,0.9921436588103255,0.238403451995685
942,Image 267,nyatapola temple,99.99961853027344,1,0,885,7,0.992152466367713,0.23867313915857605
943,Image 1615,basantapur tower,99.99961853027344,1,0,886,7,0.9921612541993281,0.2389428263214671
944,Image 938,bhaktapur tower,99.99961853027344,1,0,887,7,0.9921700223713646,0.23921251348435815
945,Image 1210,badrinath temple,99.99961853027344,1,0,888,7,0.9921787709497206,0.23948220064724918
946,Image 669,bhimeleshvara,99.99961853027344,1,0,889,7,0.9921875,0.23975188781014023
947,Image 649,garud,99.99961853027344,1,0,890,7,0.992196209587514,0.24002157497303128
948,Image 1457,lalitpur tower,99.99960660934448,1,0,891,7,0.9922048997772829,0.24029126213592233
949,Image 1665,kirtipur tower,99.99960660934448,1,0,892,7,0.9922135706340378,0.2405609492988134
950,Image 1841,siddhi lakshmi temple,99.99960660934448,1,0,893,7,0.9922222222222222,0.2408306364617044
951,Image 667,garud,99.99960660934448,1,0,894,7,0.9922308546059934,0.24110032362459546
952,Image 1823,fasidega temple,99.99960660934448,1,0,895,7,0.9922394678492239,0.24137001078748652
953,Image 450,simha sattal,99.99960660934448,1,0,896,7,0.9922480620155039,0.24163969795037757
954,Image 1923,fasidega temple,99.99960660934448,1,0,897,7,0.9922566371681416,0.24190938511326862
955,Image 1394,lalitpur tower,99.99959468841553,1,0,898,7,0.9922651933701657,0.24217907227615965
956,Image 1230,mahadev temple,99.99959468841553,1,0,899,7,0.9922737306843267,0.2424487594390507
957,Image 443,shiva temple,99.99959468841553,1,0,900,7,0.9922822491730982,0.24271844660194175
958,Image 38,degu tale temple_KDS,99.99959468841553,1,0,901,7,0.9922907488986784,0.2429881337648328
959,Image 550,pratap malla column,99.99959468841553,1,0,902,7,0.9922992299229924,0.24325782092772383
960,Image 1156,taleju bell_BDS,99.99959468841553,1,0,903,7,0.9923076923076923,0.24352750809061488
961,Image 2024,taleju bell_KDS,99.99959468841553,1,0,904,7,0.9923161361141603,0.24379719525350593
962,Image 9,bhuvana lakshmeshvara,99.99958276748657,1,0,905,7,0.9923245614035088,0.24406688241639699
963,Image 643,trailokya mohan,99.99958276748657,1,0,906,7,0.9923329682365827,0.24433656957928804
964,Image 1185,gopinath krishna temple,99.99958276748657,1,0,907,7,0.9923413566739606,0.24460625674217906
965,Image 1941,fasidega temple,99.99958276748657,1,0,908,7,0.9923497267759562,0.24487594390507011
966,Image 1595,indrapura,99.99958276748657,1,0,909,7,0.99235807860262,0.24514563106796117
967,Image 907,bhaktapur tower,99.99958276748657,1,0,910,7,0.9923664122137404,0.24541531823085222
968,Image 1248,palace of the 55 windows,99.99958276748657,1,0,911,7,0.9923747276688453,0.24568500539374324
969,Image 529,chasin dega,99.99958276748657,1,0,912,7,0.9923830250272034,0.2459546925566343
970,Image 2060,panchamukhi hanuman,99.99958276748657,0,0,912,7,0.9923830250272034,0.2459546925566343
971,Image 1898,chasin dega,99.99958276748657,1,0,913,7,0.9923913043478261,0.24622437971952535
972,Image 700,simha sattal,99.99958276748657,1,0,914,7,0.992399565689468,0.2464940668824164
973,Image 77,degu tale temple_KDS,99.99958276748657,1,0,915,7,0.9924078091106291,0.24676375404530745
974,Image 867,vishnu temple,99.99958276748657,1,0,916,7,0.9924160346695557,0.24703344120819848
975,Image 960,bhimeleshvara,99.99958276748657,1,0,917,7,0.9924242424242424,0.24730312837108953
976,Image 687,chasin dega,99.99957084655762,1,0,918,7,0.9924324324324324,0.24757281553398058
977,Image 1004,kasthamandap,99.99957084655762,1,0,919,7,0.9924406047516199,0.24784250269687164
978,Image 2019,taleju bell_KDS,99.99957084655762,1,0,920,7,0.9924487594390508,0.2481121898597627
979,Image 170,palace of the 55 windows,99.99957084655762,1,0,921,7,0.9924568965517241,0.2483818770226537
980,Image 959,garud,99.99957084655762,1,0,922,7,0.9924650161463939,0.24865156418554477
981,Image 2044,basantapur tower,99.99957084655762,1,0,923,7,0.9924731182795699,0.24892125134843582
982,Image 869,bhuvana lakshmeshvara,99.99957084655762,1,0,924,7,0.9924812030075187,0.24919093851132687
983,Image 1942,golden gate,99.99957084655762,1,0,925,7,0.9924892703862661,0.2494606256742179
984,Image 1130,kala-bhairava,99.99957084655762,1,0,926,7,0.992497320471597,0.24973031283710895
985,Image 1932,fasidega temple,99.99957084655762,1,0,927,7,0.9925053533190579,0.25
986,Image 1090,jagannatha temple,99.99957084655762,1,0,928,7,0.9925133689839573,0.25026968716289105
987,Image 1704,kumari ghar,99.99957084655762,1,0,929,7,0.9925213675213675,0.2505393743257821
988,Image 1539,taleju temple,99.99957084655762,1,0,930,7,0.9925293489861259,0.25080906148867316
989,Image 975,simha sattal,99.99957084655762,1,0,931,7,0.9925373134328358,0.2510787486515642
990,Image 1182,kedamatha tirtha,99.99957084655762,1,0,932,7,0.9925452609158679,0.2513484358144552
991,Image 1931,fasidega temple,99.99955892562866,1,0,933,7,0.9925531914893617,0.25161812297734626
992,Image 134,palace of the 55 windows,99.99955892562866,1,0,934,7,0.9925611052072264,0.2518878101402373
993,Image 1947,fasidega temple,99.99955892562866,1,0,935,7,0.9925690021231423,0.25215749730312836
994,Image 1660,kirtipur tower,99.99955892562866,0,0,935,7,0.9925690021231423,0.25215749730312836
995,Image 1461,trailokya mohan,99.99955892562866,1,0,936,7,0.9925768822905621,0.2524271844660194
996,Image 1317,palace of the 55 windows,99.99955892562866,1,0,937,7,0.9925847457627118,0.25269687162891047
997,Image 1585,vishnu temple,99.99955892562866,1,0,938,7,0.9925925925925926,0.2529665587918015
998,Image 1016,trailokya mohan,99.99955892562866,1,0,939,7,0.992600422832981,0.2532362459546926
999,Image 1714,dattatreya temple,99.99955892562866,1,0,940,7,0.9926082365364308,0.2535059331175836
1000,Image 983,kavindrapura sattal,99.9995470046997,1,0,941,7,0.9926160337552743,0.2537756202804746
1001,Image 535,chasin dega,99.9995470046997,0,0,941,7,0.9926160337552743,0.2537756202804746
1002,Image 1315,national gallery,99.9995470046997,1,0,942,7,0.9926238145416227,0.2540453074433657
1003,Image 1370,chayasilin mandap,99.9995470046997,1,0,943,7,0.9926315789473684,0.25431499460625673
1004,Image 1930,nyatapola temple,99.9995470046997,1,0,944,7,0.9926393270241851,0.2545846817691478
1005,Image 1669,shveta bhairava,99.9995470046997,1,0,945,7,0.9926470588235294,0.25485436893203883
1006,Image 1604,basantapur tower,99.9995470046997,1,0,946,7,0.9926547743966422,0.2551240560949299
1007,Image 1655,kirtipur tower,99.9995470046997,1,0,947,7,0.9926624737945493,0.25539374325782094
1008,Image 178,palace of the 55 windows,99.9995470046997,1,0,948,7,0.9926701570680628,0.255663430420712
1009,Image 37,kala-bhairava,99.99953508377075,1,0,949,7,0.9926778242677824,0.25593311758360304
1010,Image 1700,trailokya mohan,99.99953508377075,1,0,950,7,0.9926854754440961,0.25620280474649404
1011,Image 688,taleju bell_KDS,99.99953508377075,1,0,951,7,0.9926931106471816,0.2564724919093851
1012,Image 1702,chasin dega,99.99953508377075,1,0,952,7,0.9927007299270073,0.25674217907227614
1013,Image 1011,shiva temple,99.99953508377075,1,0,953,7,0.9927083333333333,0.2570118662351672
1014,Image 659,garud,99.99953508377075,1,0,954,7,0.9927159209157128,0.25728155339805825
1015,Image 1183,gopinath krishna temple,99.9995231628418,1,0,955,7,0.9927234927234927,0.2575512405609493
1016,Image 1053,indrapura,99.9995231628418,1,0,956,7,0.9927310488058152,0.25782092772384035
1017,Image 680,trailokya mohan,99.9995231628418,1,0,957,7,0.9927385892116183,0.2580906148867314
1018,Image 1226,gopinath krishna temple,99.9995231628418,1,0,958,7,0.9927461139896373,0.25836030204962246
1019,Image 20,trailokya mohan,99.9995231628418,1,0,959,7,0.9927536231884058,0.2586299892125135
1020,Image 655,garud,99.9995231628418,1,0,960,7,0.9927611168562565,0.2588996763754045
1021,Image 1592,kala-bhairava,99.9995231628418,1,0,961,7,0.9927685950413223,0.25916936353829556
1022,Image 653,trailokya mohan,99.9995231628418,1,0,962,7,0.9927760577915377,0.2594390507011866
1023,Image 249,dattatreya temple,99.9995231628418,1,0,963,7,0.9927835051546392,0.25970873786407767
1024,Image 211,bhairavnath temple,99.9995231628418,1,0,964,7,0.9927909371781668,0.2599784250269687
1025,Image 1926,fasidega temple,99.9995231628418,1,0,965,7,0.992798353909465,0.26024811218985977
1026,Image 311,kedamatha tirtha,99.9995231628418,1,0,966,7,0.9928057553956835,0.2605177993527508
1027,Image 1075,bhuvana lakshmeshvara,99.99951124191284,1,0,967,7,0.9928131416837782,0.2607874865156419
1028,Image 1240,gopinath krishna temple,99.99951124191284,1,0,968,7,0.9928205128205129,0.26105717367853293
1029,Image 1784,bhimsen temple,99.99951124191284,1,0,969,7,0.992827868852459,0.2613268608414239
1030,Image 670,kasthamandap,99.99951124191284,1,0,970,7,0.9928352098259979,0.261596548004315
1031,Image 1622,kirtipur tower,99.99951124191284,1,0,971,7,0.9928425357873211,0.26186623516720603
1032,Image 2040,trailokya mohan,99.99951124191284,1,0,972,7,0.992849846782431,0.2621359223300971
1033,Image 724,degu tale temple_KDS,99.99951124191284,1,0,973,7,0.9928571428571429,0.26240560949298813
