,Image,Detection,Confidence,TP,FP,TN,Acc TP,Acc FP,Acc TN,Recall,Specificity,FPR
656,Image657,garud,99.99984502792358,1,0,1,620,37,762,0.16720604099244876,0.9536921151439299,0.04630788485607007
657,Image580,hanuman idol,99.99984502792358,0,1,0,620,38,762,0.16720604099244876,0.9525,0.04749999999999999
658,Image274,indrapura,99.99984502792358,1,0,3,621,38,765,0.16747572815533981,0.9526774595267746,0.04732254047322537
659,Image1642,kirtipur tower,99.99984502792358,1,0,2,622,38,767,0.16774541531823084,0.9527950310559006,0.047204968944099424
660,Image475,kavindrapura sattal,99.99984502792358,1,0,0,623,38,767,0.1680151024811219,0.9527950310559006,0.047204968944099424
661,Image1591,degu tale temple_KDS,99.99984502792358,1,0,3,624,38,770,0.16828478964401294,0.9529702970297029,0.04702970297029707
662,Image350,basantapur tower,99.99984502792358,1,0,0,625,38,770,0.168554476806904,0.9529702970297029,0.04702970297029707
663,Image465,kavindrapura sattal,99.99984502792358,1,0,0,626,38,770,0.16882416396979505,0.9529702970297029,0.04702970297029707
664,Image1733,dattatreya temple,99.99984502792358,1,0,0,627,38,770,0.16909385113268607,0.9529702970297029,0.04702970297029707
665,Image956,trailokya mohan,99.99983310699463,1,0,2,628,38,772,0.16936353829557713,0.9530864197530864,0.04691358024691361
666,Image1194,gopinath krishna temple,99.99983310699463,1,0,1,629,38,773,0.16963322545846818,0.9531442663378545,0.04685573366214546
667,Image1027,trailokya mohan,99.99983310699463,1,0,1,630,38,774,0.16990291262135923,0.9532019704433498,0.046798029556650245
668,Image1194,kedamatha tirtha,99.99983310699463,1,0,1,631,38,775,0.17017259978425028,0.9532595325953259,0.04674046740467408
669,Image1222,gopinath krishna temple,99.99983310699463,1,0,1,632,38,776,0.1704422869471413,0.9533169533169533,0.04668304668304668
670,Image1965,vishnu temple,99.99983310699463,1,0,1,633,38,777,0.17071197411003236,0.9533742331288344,0.0466257668711656
671,Image1199,gopinath krishna temple,99.99983310699463,1,0,1,634,38,778,0.1709816612729234,0.9534313725490197,0.04656862745098034
672,Image948,kumari ghar,99.99983310699463,1,0,1,635,38,779,0.17125134843581447,0.9534883720930233,0.046511627906976716
673,Image1204,kedamatha tirtha,99.99983310699463,1,0,1,636,38,780,0.1715210355987055,0.9535452322738386,0.04645476772616142
674,Image1236,badrinath temple,99.99983310699463,1,0,1,637,38,781,0.17179072276159654,0.9536019536019537,0.046398046398046344
675,Image1859,chayasilin mandap,99.99983310699463,1,0,3,638,38,784,0.1720604099244876,0.9537712895377128,0.04622871046228716
676,Image456,simha sattal,99.99983310699463,1,0,0,639,38,784,0.17233009708737865,0.9537712895377128,0.04622871046228716
677,Image1567,taleju temple,99.99983310699463,1,0,2,640,38,786,0.1725997842502697,0.9538834951456311,0.04611650485436891
678,Image1166,gopinath krishna temple,99.99983310699463,1,0,2,641,38,788,0.17286947141316072,0.9539951573849879,0.04600484261501214
679,Image516,taleju bell_KDS,99.99983310699463,1,0,0,642,38,788,0.17313915857605178,0.9539951573849879,0.04600484261501214
680,Image1532,gaddi durbar,99.99983310699463,1,0,1,643,38,789,0.17340884573894283,0.9540507859733979,0.045949214026602125
681,Image1243,palace of the 55 windows,99.99983310699463,1,0,6,644,38,795,0.17367853290183388,0.9543817527010804,0.04561824729891961
682,Image1052,degu tale temple_KDS,99.99982118606567,1,0,1,645,38,796,0.1739482200647249,0.9544364508393285,0.04556354916067151
683,Image466,kavindrapura sattal,99.99982118606567,1,0,0,646,38,796,0.17421790722761596,0.9544364508393285,0.04556354916067151
684,Image1331,bhairavnath temple,99.99982118606567,1,0,0,647,38,796,0.174487594390507,0.9544364508393285,0.04556354916067151
685,Image1453,gaddi durbar,99.99982118606567,1,0,1,648,38,797,0.17475728155339806,0.9544910179640719,0.045508982035928125
686,Image326,kedamatha tirtha,99.99982118606567,1,0,2,649,38,799,0.17502696871628912,0.954599761051374,0.04540023894862599
687,Image946,kumari ghar,99.99982118606567,1,0,1,650,38,800,0.17529665587918014,0.954653937947494,0.04534606205250602
688,Image543,chasin dega,99.99982118606567,1,0,0,651,38,800,0.1755663430420712,0.954653937947494,0.04534606205250602
689,Image246,gopinath krishna temple,99.99982118606567,0,1,0,651,39,800,0.1755663430420712,0.9535160905840286,0.04648390941597136
690,Image1190,gopinath krishna temple,99.99982118606567,1,0,1,652,39,801,0.17583603020496225,0.9535714285714286,0.046428571428571375
691,Image669,kasthamandap,99.99982118606567,1,0,2,653,39,803,0.1761057173678533,0.9536817102137767,0.04631828978622332
692,Image1202,gopinath krishna temple,99.99982118606567,1,0,1,654,39,804,0.17637540453074432,0.9537366548042705,0.0462633451957295
693,Image373,trailokya mohan,99.99982118606567,1,0,1,655,39,805,0.17664509169363538,0.9537914691943128,0.04620853080568721
694,Image1595,narayan temple,99.99982118606567,1,0,1,656,39,806,0.17691477885652643,0.9538461538461539,0.0461538461538461
695,Image1432,garud,99.99982118606567,1,0,1,657,39,807,0.17718446601941748,0.9539007092198581,0.046099290780141855
696,Image1636,kirtipur tower,99.99982118606567,1,0,2,658,39,809,0.17745415318230853,0.9540094339622641,0.04599056603773588
697,Image1269,kedamatha tirtha,99.99982118606567,1,0,1,659,39,810,0.17772384034519956,0.9540636042402827,0.04593639575971731
698,Image1249,palace of the 55 windows,99.99982118606567,1,0,3,660,39,813,0.1779935275080906,0.954225352112676,0.045774647887323994
699,Image521,chasin dega,99.99982118606567,1,0,0,661,39,813,0.17826321467098166,0.954225352112676,0.045774647887323994
700,Image1536,gaddi durbar,99.99982118606567,1,0,1,662,39,814,0.17853290183387271,0.9542790152403282,0.04572098475967179
701,Image145,golden gate,99.99982118606567,1,0,1,663,39,815,0.17880258899676377,0.9543325526932084,0.04566744730679162
702,Image866,vishnu temple,99.99980926513672,1,0,1,664,39,816,0.1790722761596548,0.9543859649122807,0.04561403508771933
703,Image1359,nyatapola temple,99.99980926513672,1,0,0,665,39,816,0.17934196332254584,0.9543859649122807,0.04561403508771933
704,Image467,kavindrapura sattal,99.99980926513672,1,0,0,666,39,816,0.1796116504854369,0.9543859649122807,0.04561403508771933
705,Image924,lalitpur tower,99.99980926513672,1,0,2,667,39,818,0.17988133764832795,0.9544924154025671,0.04550758459743287
706,Image1463,bhimeleshvara,99.99980926513672,1,0,2,668,39,820,0.18015102481121897,0.9545983701979045,0.0454016298020955
707,Image1559,garud,99.99980926513672,1,0,0,669,39,820,0.18042071197411003,0.9545983701979045,0.0454016298020955
708,Image690,simha sattal,99.99980926513672,1,0,2,670,39,822,0.18069039913700108,0.9547038327526133,0.04529616724738672
709,Image1469,taleju temple,99.99980926513672,1,0,4,671,39,826,0.18096008629989213,0.9549132947976878,0.04508670520231217
710,Image356,kumari ghar,99.99980926513672,1,0,0,672,39,826,0.18122977346278318,0.9549132947976878,0.04508670520231217
711,Image1172,national gallery,99.99980926513672,1,0,1,673,39,827,0.1814994606256742,0.9549653579676675,0.04503464203233254
712,Image1189,gopinath krishna temple,99.99980926513672,1,0,1,674,39,828,0.18176914778856526,0.9550173010380623,0.04498269896193774
713,Image2065,panchamukhi hanuman,99.99980926513672,1,0,0,675,39,828,0.1820388349514563,0.9550173010380623,0.04498269896193774
714,Image2056,trailokya mohan,99.99980926513672,1,0,0,676,39,828,0.18230852211434737,0.9550173010380623,0.04498269896193774
715,Image203,dattatreya temple,99.99980926513672,1,0,0,677,39,828,0.1825782092772384,0.9550173010380623,0.04498269896193774
716,Image1093,bhuvana lakshmeshvara,99.99980926513672,1,0,2,678,39,830,0.18284789644012944,0.9551208285385501,0.04487917146144993
717,Image1621,kirtipur tower,99.99980926513672,1,0,0,679,39,830,0.1831175836030205,0.9551208285385501,0.04487917146144993
718,Image1896,chayasilin mandap,99.99980926513672,1,0,4,680,39,834,0.18338727076591155,0.9553264604810997,0.044673539518900296
719,Image1892,vastala temple,99.99980926513672,1,0,3,681,39,837,0.1836569579288026,0.9554794520547946,0.044520547945205435
720,Image974,simha sattal,99.99979734420776,1,0,1,682,39,838,0.18392664509169362,0.9555302166476625,0.04446978335233753
721,Image1081,bhuvana lakshmeshvara,99.99979734420776,1,0,3,683,39,841,0.18419633225458468,0.9556818181818182,0.04431818181818181
722,Image710,shveta bhairava,99.99979734420776,1,0,1,684,39,842,0.18446601941747573,0.9557321225879682,0.04426787741203175
723,Image491,bhagavati temple,99.99979734420776,0,1,0,684,40,842,0.18446601941747573,0.9546485260770975,0.04535147392290251
724,Image678,trailokya mohan,99.99979734420776,1,0,1,685,40,843,0.18473570658036678,0.9546998867497168,0.04530011325028316
725,Image571,hanuman idol,99.99979734420776,1,0,0,686,40,843,0.18500539374325783,0.9546998867497168,0.04530011325028316
726,Image319,palace of the 55 windows,99.99979734420776,1,0,3,687,40,846,0.18527508090614886,0.9548532731376975,0.04514672686230248
727,Image312,mahadev temple,99.99979734420776,1,0,1,688,40,847,0.1855447680690399,0.9549041713641488,0.045095828635851154
728,Image1116,panchamukhi hanuman,99.99979734420776,1,0,1,689,40,848,0.18581445523193096,0.954954954954955,0.04504504504504503
729,Image206,chasin dega,99.99979734420776,1,0,0,690,40,848,0.18608414239482202,0.954954954954955,0.04504504504504503
730,Image410,kasthamandap,99.99979734420776,1,0,1,691,40,849,0.18635382955771304,0.9550056242969629,0.044994375703037104
731,Image1966,vishnu temple,99.99979734420776,1,0,1,692,40,850,0.1866235167206041,0.9550561797752809,0.0449438202247191
732,Image1530,taleju temple,99.99979734420776,1,0,2,693,40,852,0.18689320388349515,0.9551569506726457,0.04484304932735428
733,Image1607,panchamukhi hanuman,99.99979734420776,1,0,0,694,40,852,0.1871628910463862,0.9551569506726457,0.04484304932735428
734,Image1636,basantapur tower,99.99979734420776,1,0,2,695,40,854,0.18743257820927725,0.9552572706935123,0.044742729306487705
735,Image1233,badrinath temple,99.99979734420776,1,0,2,696,40,856,0.18770226537216828,0.9553571428571429,0.044642857142857095
736,Image1593,degu tale temple_KDS,99.99978542327881,1,0,3,697,40,859,0.18797195253505933,0.9555061179087876,0.04449388209121241
737,Image1309,palace of the 55 windows,99.99978542327881,1,0,3,698,40,862,0.18824163969795038,0.9556541019955654,0.04434589800443456
738,Image31,degu tale temple_KDS,99.99978542327881,1,0,2,699,40,864,0.18851132686084143,0.9557522123893806,0.04424778761061943
739,Image1214,kedamatha tirtha,99.99978542327881,1,0,2,700,40,866,0.18878101402373246,0.9558498896247241,0.04415011037527594
740,Image1274,badrinath temple,99.99978542327881,1,0,0,701,40,866,0.1890507011866235,0.9558498896247241,0.04415011037527594
741,Image1853,national gallery,99.99978542327881,1,0,4,702,40,870,0.18932038834951456,0.9560439560439561,0.04395604395604391
742,Image1317,national gallery,99.99978542327881,1,0,5,703,40,875,0.18959007551240561,0.9562841530054644,0.04371584699453557
743,Image1001,kasthamandap,99.99978542327881,1,0,1,704,40,876,0.18985976267529667,0.9563318777292577,0.04366812227074235
744,Image226,gopinath krishna temple,99.99978542327881,1,0,1,705,40,877,0.1901294498381877,0.9563794983642312,0.043620501635768805
745,Image1058,shveta bhairava,99.99978542327881,1,0,0,706,40,877,0.19039913700107874,0.9563794983642312,0.043620501635768805
746,Image1816,bhairavnath temple,99.99978542327881,1,0,0,707,40,877,0.1906688241639698,0.9563794983642312,0.043620501635768805
747,Image1141,taleju temple,99.99978542327881,1,0,2,708,40,879,0.19093851132686085,0.956474428726877,0.043525571273122954
748,Image262,chayasilin mandap,99.99978542327881,1,0,0,709,40,879,0.1912081984897519,0.956474428726877,0.043525571273122954
749,Image1698,jagannatha temple,99.99978542327881,1,0,1,710,40,880,0.19147788565264293,0.9565217391304348,0.04347826086956519
750,Image1089,indrapura,99.99978542327881,1,0,1,711,40,881,0.19174757281553398,0.9565689467969598,0.04343105320304019
751,Image676,simha sattal,99.99978542327881,1,0,1,712,40,882,0.19201725997842503,0.9566160520607375,0.04338394793926248
752,Image621,vishnu temple,99.99978542327881,1,0,0,713,40,882,0.19228694714131608,0.9566160520607375,0.04338394793926248
753,Image1535,gaddi durbar,99.99978542327881,1,0,1,714,40,883,0.1925566343042071,0.9566630552546046,0.0433369447453954
754,Image138,bhairavnath temple,99.99977350234985,1,0,0,715,40,883,0.19282632146709816,0.9566630552546046,0.0433369447453954
755,Image1003,kasthamandap,99.99977350234985,1,0,1,716,40,884,0.1930960086299892,0.9567099567099567,0.04329004329004327
756,Image1951,vastala temple,99.99977350234985,1,0,0,717,40,884,0.19336569579288027,0.9567099567099567,0.04329004329004327
757,Image997,kavindrapura sattal,99.99977350234985,1,0,0,718,40,884,0.19363538295577132,0.9567099567099567,0.04329004329004327
758,Image978,simha sattal,99.99977350234985,1,0,1,719,40,885,0.19390507011866234,0.9567567567567568,0.043243243243243246
759,Image388,garud,99.99977350234985,1,0,1,720,40,886,0.1941747572815534,0.9568034557235421,0.043196544276457916
760,Image928,bhaktapur tower,99.99977350234985,1,0,3,721,40,889,0.19444444444444445,0.9569429494079655,0.04305705059203446
761,Image361,bhimeleshvara,99.99977350234985,1,0,1,722,40,890,0.1947141316073355,0.956989247311828,0.043010752688172005
762,Image831,shveta bhairava,99.99977350234985,1,0,0,723,40,890,0.19498381877022652,0.956989247311828,0.043010752688172005
763,Image795,bhagavati temple,99.99977350234985,1,0,0,724,40,890,0.19525350593311758,0.956989247311828,0.043010752688172005
764,Image1738,jagannatha temple,99.99977350234985,1,0,2,725,40,892,0.19552319309600863,0.9570815450643777,0.0429184549356223
765,Image840,jagannatha temple,99.99977350234985,1,0,0,726,40,892,0.19579288025889968,0.9570815450643777,0.0429184549356223
766,Image1251,palace of the 55 windows,99.9997615814209,1,0,4,727,40,896,0.19606256742179073,0.9572649572649573,0.042735042735042694
767,Image992,simha sattal,99.9997615814209,1,0,0,728,40,896,0.19633225458468176,0.9572649572649573,0.042735042735042694
768,Image821,chasin dega,99.9997615814209,1,0,0,729,40,896,0.1966019417475728,0.9572649572649573,0.042735042735042694
769,Image1379,mahadev temple,99.9997615814209,1,0,1,730,40,897,0.19687162891046386,0.9573105656350054,0.042689434364994616
770,Image1077,narayan temple,99.9997615814209,1,0,2,731,40,899,0.19714131607335492,0.9574014909478168,0.04259850905218321
771,Image742,degu tale temple_KDS,99.9997615814209,1,0,0,732,40,899,0.19741100323624594,0.9574014909478168,0.04259850905218321
772,Image690,kavindrapura sattal,99.9997615814209,1,0,2,733,40,901,0.197680690399137,0.9574920297555791,0.04250797024442088
773,Image1103,bhaktapur tower,99.9997615814209,1,0,0,734,40,901,0.19795037756202805,0.9574920297555791,0.04250797024442088
774,Image574,hanuman idol,99.9997615814209,1,0,0,735,40,901,0.1982200647249191,0.9574920297555791,0.04250797024442088
775,Image2066,bhairavnath temple,99.9997615814209,1,0,1,736,40,902,0.19848975188781015,0.9575371549893843,0.0424628450106157
776,Image385,bhimeleshvara,99.9997615814209,1,0,1,737,40,903,0.19875943905070118,0.9575821845174973,0.042417815482502674
777,Image1704,trailokya mohan,99.9997615814209,1,0,1,738,40,904,0.19902912621359223,0.9576271186440678,0.0423728813559322
778,Image1808,nyatapola temple,99.9997615814209,1,0,0,739,40,904,0.19929881337648328,0.9576271186440678,0.0423728813559322
779,Image1627,basantapur tower,99.9997615814209,1,0,1,740,40,905,0.19956850053937433,0.9576719576719577,0.042328042328042326
780,Image1661,kirtipur tower,99.9997615814209,1,0,2,741,40,907,0.19983818770226539,0.9577613516367476,0.04223864836325242
781,Image1637,basantapur tower,99.9997615814209,1,0,2,742,40,909,0.2001078748651564,0.9578503688092729,0.04214963119072712
782,Image282,nyatapola temple,99.9997615814209,1,0,0,743,40,909,0.20037756202804746,0.9578503688092729,0.04214963119072712
783,Image1877,national gallery,99.9997615814209,0,1,0,743,41,909,0.20037756202804746,0.9568421052631579,0.04315789473684206
784,Image719,shiva temple,99.99974966049194,1,0,0,744,41,909,0.20064724919093851,0.9568421052631579,0.04315789473684206
785,Image337,badrinath temple,99.99974966049194,1,0,1,745,41,910,0.20091693635382957,0.9568874868559412,0.04311251314405884
786,Image142,bhairavnath temple,99.99974966049194,1,0,0,746,41,910,0.2011866235167206,0.9568874868559412,0.04311251314405884
787,Image1228,gopinath krishna temple,99.99974966049194,1,0,1,747,41,911,0.20145631067961164,0.9569327731092437,0.04306722689075626
788,Image254,dattatreya temple,99.99974966049194,1,0,0,748,41,911,0.2017259978425027,0.9569327731092437,0.04306722689075626
789,Image682,bhimeleshvara,99.99974966049194,1,0,1,749,41,912,0.20199568500539375,0.9569779643231899,0.043022035676810066
790,Image1611,basantapur tower,99.99974966049194,1,0,1,750,41,913,0.2022653721682848,0.9570230607966457,0.042976939203354325
791,Image1986,indrapura,99.99974966049194,1,0,1,751,41,914,0.20253505933117583,0.9570680628272251,0.04293193717277488
792,Image279,nyatapola temple,99.99974966049194,1,0,1,752,41,915,0.20280474649406688,0.9571129707112971,0.042887029288702916
793,Image846,hanuman idol,99.99974966049194,1,0,0,753,41,915,0.20307443365695793,0.9571129707112971,0.042887029288702916
794,Image1254,palace of the 55 windows,99.99973773956299,1,0,4,754,41,919,0.20334412081984898,0.9572916666666667,0.04270833333333335
795,Image296,siddhi lakshmi temple,99.99973773956299,1,0,1,755,41,920,0.20361380798274,0.9573361082206036,0.042663891779396446
796,Image1598,vishnu temple,99.99973773956299,0,1,0,755,42,920,0.20361380798274,0.9563409563409564,0.043659043659043606
797,Image1568,vishnu temple,99.99973773956299,1,0,2,756,42,922,0.20388349514563106,0.9564315352697096,0.04356846473029041
798,Image352,gaddi durbar,99.99973773956299,1,0,2,757,42,924,0.2041531823085221,0.9565217391304348,0.04347826086956519
799,Image502,taleju bell_KDS,99.99973773956299,1,0,0,758,42,924,0.20442286947141317,0.9565217391304348,0.04347826086956519
800,Image557,shveta bhairava,99.99973773956299,1,0,0,759,42,924,0.20469255663430422,0.9565217391304348,0.04347826086956519
801,Image1130,degu tale temple_KDS,99.99973773956299,1,0,3,760,42,927,0.20496224379719524,0.9566563467492261,0.04334365325077394
802,Image136,taleju bell_BDS,99.99973773956299,1,0,3,761,42,930,0.2052319309600863,0.9567901234567902,0.043209876543209846
803,Image746,bhuvana lakshmeshvara,99.99972581863403,0,1,0,761,43,930,0.2052319309600863,0.9558067831449126,0.04419321685508737
804,Image1578,bhuvana lakshmeshvara,99.99972581863403,0,1,0,761,44,930,0.2052319309600863,0.9548254620123203,0.045174537987679675
805,Image734,kasthamandap,99.99972581863403,1,0,1,762,44,931,0.20550161812297735,0.9548717948717949,0.045128205128205146
806,Image1578,vishnu temple,99.99972581863403,0,1,0,762,45,931,0.20550161812297735,0.9538934426229508,0.04610655737704916
807,Image1035,bhagavati temple,99.99972581863403,1,0,0,763,45,931,0.2057713052858684,0.9538934426229508,0.04610655737704916
808,Image1965,bhuvana lakshmeshvara,99.99972581863403,1,0,1,764,45,932,0.20604099244875945,0.9539406345957011,0.04605936540429889
809,Image1722,dattatreya temple,99.99972581863403,1,0,0,765,45,932,0.20631067961165048,0.9539406345957011,0.04605936540429889
810,Image1156,golden gate,99.99972581863403,1,0,2,766,45,934,0.20658036677454153,0.9540347293156282,0.04596527068437184
811,Image1585,bhuvana lakshmeshvara,99.99972581863403,1,0,1,767,45,935,0.20685005393743258,0.9540816326530612,0.04591836734693877
812,Image1637,kirtipur tower,99.99972581863403,1,0,2,768,45,937,0.20711974110032363,0.9541751527494908,0.04582484725050917
813,Image546,shveta bhairava,99.99972581863403,1,0,0,769,45,937,0.20738942826321466,0.9541751527494908,0.04582484725050917
814,Image314,badrinath temple,99.99972581863403,1,0,0,770,45,937,0.2076591154261057,0.9541751527494908,0.04582484725050917
815,Image1213,kedamatha tirtha,99.99972581863403,1,0,2,771,45,939,0.20792880258899676,0.9542682926829268,0.04573170731707321
816,Image1201,gopinath krishna temple,99.99972581863403,1,0,1,772,45,940,0.20819848975188782,0.9543147208121827,0.045685279187817285
817,Image1217,gopinath krishna temple,99.99972581863403,1,0,2,773,45,942,0.20846817691477887,0.9544072948328267,0.045592705167173286
818,Image1382,national gallery,99.99972581863403,0,1,3,773,46,945,0.20846817691477887,0.9535822401614531,0.0464177598385469
819,Image10,lalitpur tower,99.99972581863403,1,0,1,774,46,946,0.2087378640776699,0.9536290322580645,0.0463709677419355
820,Image1868,vastala temple,99.99971389770508,1,0,3,775,46,949,0.20900755124056095,0.9537688442211055,0.04623115577889447
821,Image1590,narayan temple,99.99971389770508,1,0,3,776,46,952,0.209277238403452,0.9539078156312625,0.04609218436873752
822,Image1246,golden gate,99.99971389770508,1,0,3,777,46,955,0.20954692556634305,0.954045954045954,0.04595404595404595
823,Image15,basantapur tower,99.99971389770508,1,0,1,778,46,956,0.20981661272923408,0.9540918163672655,0.04590818363273452
824,Image1157,palace of the 55 windows,99.99971389770508,1,0,3,779,46,959,0.21008629989212513,0.954228855721393,0.04577114427860696
825,Image2049,degu tale temple_KDS,99.99971389770508,1,0,1,780,46,960,0.21035598705501618,0.9542743538767395,0.045725646123260466
826,Image394,trailokya mohan,99.99971389770508,1,0,1,781,46,961,0.21062567421790723,0.9543197616683218,0.045680238331678225
827,Image668,kasthamandap,99.99971389770508,1,0,2,782,46,963,0.21089536138079829,0.9544103072348861,0.04558969276511393
828,Image1889,vastala temple,99.99971389770508,0,1,0,782,47,963,0.21089536138079829,0.9534653465346534,0.046534653465346576
829,Image1215,kedamatha tirtha,99.99971389770508,1,0,2,783,47,965,0.2111650485436893,0.9535573122529645,0.04644268774703553
830,Image977,simha sattal,99.99971389770508,1,0,1,784,47,966,0.21143473570658036,0.9536031589338598,0.04639684106614017
831,Image1583,bhuvana lakshmeshvara,99.99971389770508,0,1,0,784,48,966,0.21143473570658036,0.9526627218934911,0.047337278106508895
832,Image749,bhagavati temple,99.99971389770508,1,0,0,785,48,966,0.21170442286947141,0.9526627218934911,0.047337278106508895
833,Image386,bhimeleshvara,99.99970197677612,1,0,1,786,48,967,0.21197411003236247,0.9527093596059113,0.0472906403940887
834,Image1596,taleju temple,99.99970197677612,1,0,1,787,48,968,0.21224379719525352,0.952755905511811,0.047244094488189003
835,Image939,basantapur tower,99.99970197677612,1,0,2,788,48,970,0.21251348435814454,0.9528487229862476,0.047151277013752435
836,Image30,indrapura,99.99970197677612,1,0,3,789,48,973,0.2127831715210356,0.9529872673849168,0.04701273261508321
837,Image928,lalitpur tower,99.99970197677612,1,0,3,790,48,976,0.21305285868392665,0.953125,0.046875
838,Image1253,vastala temple,99.99970197677612,1,0,3,791,48,979,0.2133225458468177,0.9532619279454723,0.046738072054527735
839,Image595,kala-bhairava,99.99970197677612,1,0,0,792,48,979,0.21359223300970873,0.9532619279454723,0.046738072054527735
840,Image839,jagannatha temple,99.99970197677612,1,0,1,793,48,980,0.21386192017259978,0.953307392996109,0.046692607003890996
841,Image761,kasthamandap,99.99970197677612,1,0,0,794,48,980,0.21413160733549083,0.953307392996109,0.046692607003890996
842,Image1639,bhaktapur tower,99.99970197677612,1,0,2,795,48,982,0.21440129449838188,0.9533980582524272,0.04660194174757282
843,Image815,taleju bell_KDS,99.99970197677612,1,0,0,796,48,982,0.21467098166127294,0.9533980582524272,0.04660194174757282
844,Image1284,golden gate,99.99970197677612,0,1,0,796,49,982,0.21467098166127294,0.9524733268671193,0.047526673132880726
845,Image1596,bhuvana lakshmeshvara,99.99970197677612,1,0,1,797,49,983,0.21494066882416396,0.9525193798449613,0.04748062015503873
846,Image1873,palace of the 55 windows,99.99970197677612,0,1,0,797,50,983,0.21494066882416396,0.9515972894482091,0.048402710551790906
847,Image1205,gopinath krishna temple,99.99970197677612,1,0,1,798,50,984,0.215210355987055,0.9516441005802708,0.048355899419729176
848,Image808,taleju bell_KDS,99.99970197677612,1,0,0,799,50,984,0.21548004314994607,0.9516441005802708,0.048355899419729176
849,Image1652,kirtipur tower,99.99970197677612,1,0,1,800,50,985,0.21574973031283712,0.9516908212560387,0.048309178743961345
850,Image1597,taleju temple,99.99970197677612,1,0,1,801,50,986,0.21601941747572814,0.9517374517374517,0.04826254826254828
851,Image131,palace of the 55 windows,99.99969005584717,1,0,5,802,50,991,0.2162891046386192,0.951969260326609,0.048030739673391
852,Image597,kala-bhairava,99.99969005584717,1,0,0,803,50,991,0.21655879180151025,0.951969260326609,0.048030739673391
853,Image527,chasin dega,99.99969005584717,1,0,0,804,50,991,0.2168284789644013,0.951969260326609,0.048030739673391
854,Image857,hanuman idol,99.99969005584717,1,0,0,805,50,991,0.21709816612729235,0.951969260326609,0.048030739673391
855,Image679,trailokya mohan,99.99969005584717,1,0,1,806,50,992,0.21736785329018338,0.9520153550863724,0.04798464491362764
856,Image1944,gopinath krishna temple,99.99969005584717,1,0,2,807,50,994,0.21763754045307443,0.9521072796934866,0.04789272030651337
857,Image34,kala-bhairava,99.99969005584717,1,0,1,808,50,995,0.21790722761596548,0.9521531100478469,0.04784688995215314
858,Image1933,nyatapola temple,99.99969005584717,1,0,1,809,50,996,0.21817691477885653,0.9521988527724665,0.04780114722753348
859,Image243,bhairavnath temple,99.99969005584717,1,0,0,810,50,996,0.21844660194174756,0.9521988527724665,0.04780114722753348
860,Image981,kasthamandap,99.99969005584717,1,0,1,811,50,997,0.2187162891046386,0.9522445081184336,0.04775549188156636
861,Image111,kala-bhairava,99.99969005584717,1,0,2,812,50,999,0.21898597626752966,0.9523355576739753,0.047664442326024736
862,Image392,trailokya mohan,99.99967813491821,1,0,1,813,50,1000,0.21925566343042072,0.9523809523809523,0.04761904761904767
863,Image1504,basantapur tower,99.99967813491821,1,0,2,814,50,1002,0.21952535059331177,0.9524714828897338,0.04752851711026618
864,Image8,lalitpur tower,99.99967813491821,1,0,1,815,50,1003,0.2197950377562028,0.9525166191832859,0.047483380816714105
865,Image1817,fasidega temple,99.99967813491821,1,0,0,816,50,1003,0.22006472491909385,0.9525166191832859,0.047483380816714105
866,Image60,kala-bhairava,99.99967813491821,1,0,2,817,50,1005,0.2203344120819849,0.95260663507109,0.04739336492891
867,Image1968,vishnu temple,99.99967813491821,1,0,1,818,50,1006,0.22060409924487595,0.9526515151515151,0.04734848484848486
868,Image1597,bhuvana lakshmeshvara,99.99967813491821,1,0,1,819,50,1007,0.220873786407767,0.9526963103122044,0.047303689687795636
869,Image863,hanuman idol,99.99967813491821,0,1,0,819,51,1007,0.220873786407767,0.9517958412098299,0.04820415879017015
870,Image629,lalitpur tower,99.99967813491821,1,0,0,820,51,1007,0.22114347357065803,0.9517958412098299,0.04820415879017015
871,Image728,shveta bhairava,99.99967813491821,1,0,1,821,51,1008,0.22141316073354908,0.9518413597733711,0.04815864022662886
872,Image1588,vishnu temple,99.99967813491821,1,0,1,822,51,1009,0.22168284789644013,0.9518867924528301,0.048113207547169856
873,Image2026,taleju bell_KDS,99.99967813491821,1,0,0,823,51,1009,0.22195253505933119,0.9518867924528301,0.048113207547169856
874,Image565,hanuman idol,99.99967813491821,1,0,0,824,51,1009,0.2222222222222222,0.9518867924528301,0.048113207547169856
875,Image566,hanuman idol,99.99967813491821,1,0,0,825,51,1009,0.22249190938511326,0.9518867924528301,0.048113207547169856
876,Image1162,mahadev temple,99.99966621398926,1,0,2,826,51,1011,0.22276159654800431,0.9519774011299436,0.04802259887005644
877,Image677,trailokya mohan,99.99966621398926,1,0,2,827,51,1013,0.22303128371089537,0.9520676691729323,0.047932330827067715
878,Image965,kasthamandap,99.99966621398926,1,0,0,828,51,1013,0.22330097087378642,0.9520676691729323,0.047932330827067715
879,Image676,kasthamandap,99.99966621398926,1,0,1,829,51,1014,0.22357065803667744,0.952112676056338,0.04788732394366202
880,Image1792,bhimsen temple,99.99966621398926,1,0,0,830,51,1014,0.2238403451995685,0.952112676056338,0.04788732394366202
881,Image630,basantapur tower,99.99966621398926,1,0,1,831,51,1015,0.22411003236245955,0.9521575984990619,0.0478424015009381
